"TransactionType","Date","Location","Sublocation","OrderNumber","QtyBefore","Quantity","QtyAfter"
"Sales Order Picking","9/3/2025 1:01:19 PM","INGR W367","2F1132","WH23679-1","2500","-2500","0"
"Sales Order Picking","9/2/2025 1:13:52 PM","INGR W367","2F1131","WH23675","2500","-2500","0"
"Sales Order Picking","8/21/2025 6:59:19 AM","INGR W367","2F1130","WH23543","2500","-2500","0"
"Sales Order Picking","8/19/2025 8:02:38 AM","INGR W367","2F1129","WH23497","2500","-2500","0"
"Sales Order Picking","8/18/2025 6:32:10 AM","INGR W367","2F1127","WH23437-1","2500","-2500","0"
"Sales Order Picking","8/15/2025 7:26:11 AM","INGR W367","2F1128","WH23443","2500","-2500","0"
"Sales Order Picking","8/11/2025 8:23:55 AM","INGR W367","2F1126","WH23370","2500","-2500","0"
"Sales Order Restock","8/11/2025 7:37:21 AM","INGR W367","2F1112","WH22573-1","0","268","268"
"Sales Order Picking","8/1/2025 9:50:09 AM","INGR W367","2F1125","WH23251","2500","-2500","0"
"Sales Order Picking","7/31/2025 12:17:39 PM","INGR W367","2F1122","WH23223-1","2500","-2500","0"
"Sales Order Picking","7/31/2025 11:55:25 AM","INGR W367","2F1124","WH23234","2500","-2500","0"
"Sales Order Picking","7/31/2025 8:57:16 AM","INGR W367","2F1123","WH23225","2500","-2500","0"
"Sales Order Picking","7/26/2025 7:18:37 AM","INGR W367","2F1121","WH23128-1","2500","-2500","0"
"Sales Order Picking","7/24/2025 11:19:57 AM","INGR W367","2F1120","WH23103","2500","-2500","0"
"Sales Order Picking","7/23/2025 5:45:30 AM","INGR W367","2F1119","WH23066","2500","-2500","0"
"Sales Order Picking","7/21/2025 8:08:45 AM","INGR W367","2F1118","WH23025","2500","-2500","0"
"Sales Order Picking","7/15/2025 1:39:52 PM","INGR W367","2F1117","WH22942","2500","-2500","0"
"Sales Order Picking","7/10/2025 1:20:40 PM","INGR W367","2F1116","WH22830","2500","-2500","0"
"Sales Order Picking","7/10/2025 1:20:23 PM","INGR W367","2F1115","WH22830","2500","-2500","0"
"Sales Order Picking","7/7/2025 12:31:28 PM","INGR W367","2F1114","WH22782","2500","-2500","0"
"Sales Order Picking","7/7/2025 10:53:01 AM","INGR W367","2F1113","WH22744","2500","-2500","0"
"Sales Order Picking","6/20/2025 7:48:14 AM","INGR W367","2F1112","WH22573","2500","-2500","0"
"Sales Order Picking","6/18/2025 10:41:15 AM","INGR W367","2F1111","WH22548","2500","-2500","0"
"Sales Order Picking","6/17/2025 8:16:24 AM","INGR W367","2F1110","WH22524","2500","-2500","0"
"Sales Order Picking","6/16/2025 6:32:58 AM","INGR W367","2F1109","WH22486","2500","-2500","0"
"Purchase Order Receive","6/13/2025 2:20:34 PM","INGR W367","2F1145","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:20:19 PM","INGR W367","2F1144","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:20:06 PM","INGR W367","2F1143","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:19:54 PM","INGR W367","2F1142","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:19:41 PM","INGR W367","2F1141","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:19:29 PM","INGR W367","2F1140","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:19:15 PM","INGR W367","2F1139","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:19:03 PM","INGR W367","2F1138","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:18:50 PM","INGR W367","2F1137","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:18:38 PM","INGR W367","2F1136","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:18:26 PM","INGR W367","2F1135","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:18:13 PM","INGR W367","2F1134","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:18:01 PM","INGR W367","2F1133","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:17:49 PM","INGR W367","2F1132","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:17:37 PM","INGR W367","2F1131","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:17:24 PM","INGR W367","2F1130","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:17:11 PM","INGR W367","2F1129","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:17:00 PM","INGR W367","2F1128","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:16:46 PM","INGR W367","2F1127","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:16:32 PM","INGR W367","2F1126","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:16:17 PM","INGR W367","2F1125","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:16:05 PM","INGR W367","2F1124","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:15:47 PM","INGR W367","2F1123","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:15:32 PM","INGR W367","2F1122","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:15:07 PM","INGR W367","2F1121","2025353","0","2500","2500"
"Purchase Order Receive","6/13/2025 2:14:46 PM","INGR W367","2F1120","2025353","0","2500","2500"
"Sales Order Picking","6/13/2025 10:15:36 AM","INGR W367","2F1108","WH22481 [ASV8]","2500","-2500","0"
"Sales Order Picking","6/12/2025 8:48:06 AM","INGR W367","2F1107","WH22460","2500","-2500","0"
"Sales Order Picking","6/11/2025 9:03:02 AM","INGR W367","2F1106","WH22444","2500","-2500","0"
"Sales Order Picking","6/3/2025 5:50:59 AM","INGR W367","2F1103","WH22305","2500","-2500","0"
"Sales Order Restock","6/2/2025 7:56:34 AM","INGR W367","2F1103","WH22183-2","0","2500","2500"
"Sales Order Picking","5/29/2025 7:34:29 AM","INGR W367","2F1105","WH22249","2500","-2500","0"
"Sales Order Picking","5/23/2025 5:53:20 AM","INGR W367","2F1104","WH22190","2500","-2500","0"
"Sales Order Picking","5/22/2025 12:28:41 PM","INGR W367","2F1103","WH22183","2500","-2500","0"
"Sales Order Picking","5/19/2025 2:14:06 PM","INGR W367","2F1102","WH22139","2500","-2500","0"
