"ProductName","SKU","Category","ItemType","TrackSerials","SerialPrefix","SerialNextNumber","SerialSuffix","Description","DefaultUnitPrice","Markup","IsFixedMarkup","IsTaxInclusivePrice","1.HCTC Cost","Cost","SpecialTaxRate","LastVendor","VendorProductCode","VendorPrice","BarCode","Uom","SalesUom","SalesUomRatio1","SalesUomRatio2","PurchasingUom","PurchasingUomRatio1","PurchasingUomRatio2","ProductLength","ProductWidth","ProductHeight","ProductWeight","Remarks","CombineQuantityBuildable","AutoManufacture","RELATED MATERIAL:","OLD SKU:","ORDER IN MULTIPLES OF:","PACKAGE QUANTITY","IsActive"
"590CART","590CART","PRINTER SUPPLIES(9704)","Stockable","False","","","","CANON BLACK INK CARTRIDGE, 0616B002AA","0.01000","-99.97200447928331466965285554","False","False","35.72","35.72000","","AMAZON","","0.00000","590CART","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N PG-50, CANON, (0616B002AA)","False","False","","","1","","True"
"660CART","660CART","PRINTER SUPPLIES(9704)","Stockable","False","","","","HP INK CARTRIDGE C1Q18A GREY | HP Designjet T3500 - (Plotter)","0.01000","-99.99167013744273219491878384","False","False","120.05","120.05000","","ELLISON SYSTEMS INC DBA SHOPLET","","0.00000","660CART","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N C1Q18A, HP, 764 300-ML GRAY DESIGNJET INK CARTRIDGE","False","False","","","1","","True"
"661CART","661CART","PRINTER SUPPLIES(9704)","Stockable","False","","","","HP INK CARTRIDGE C1Q17A PHOTO K | HP Designjet T3500 - (Plotter)","0.01000","-99.99167013744273219491878384","False","False","120.05","120.05000","","ELLISON SYSTEMS INC DBA SHOPLET","","0.00000","661CART","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N C1Q17A, HP, 764 300-ML PHOTO BLACK DESIGNJET INK CARTRIDGE","False","False","","","1","","True"
"662CART","662CART","PRINTER SUPPLIES(9704)","Stockable","False","","","","HP INK CARTRIDGE C1Q16A MATTE K | HP Designjet T3500 - (Plotter)","0.01000","-99.99187817258883248730964467","False","False","123.13","123.12500","","HP INC","","122.00000","662CART","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N C1Q16A, HP, 764 300-ML MATTE BLACK DESIGNJET INK CARTRIDGE","False","False","","","1","","True"
"663CART","663CART","PRINTER SUPPLIES(9704)","Stockable","False","","","","HP INK CARTRIDGE C1Q15A Y | HP Designjet T3500 - (Plotter)","0.01000","-99.99171499585749792874896437","False","False","120.70","120.70000","","HP INC","","122.00000","663CART","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N C1Q15A, HP, 764 300-ML YELLOW DESIGNJET INK CARTRIDGE","False","False","","","1","","True"
"664CART","664CART","PRINTER SUPPLIES(9704)","Stockable","False","","","","HP INK CARTRIDGE C1Q14A M | HP Designjet T3500 - (Plotter)","0.01000","-99.99171499585749792874896437","False","False","120.70","120.70000","","HP INC","","122.00000","664CART","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N C1Q14A, HP, 764 300-ML MAGENTA DESIGNJET INK CARTRIDGE","False","False","","","1","","True"
"665CART","665CART","PRINTER SUPPLIES(9704)","Stockable","False","","","","HP INK CARTRIDGE C1Q13A C | HP Designjet T3500 - (Plotter)","0.01000","-99.99115904871364158783485103","False","False","113.11","113.11000","","","","","665CART","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N C1Q13A, HP, 764 300-ML CYAN DESIGNJET INK CARTRIDGE","False","False","","","1","","True"
"970400-K","970400-K","PRINTER SUPPLIES(9704)","Stockable","False","","","","HP INK CARTRIDGE 952XL BLACK","0.01000","-99.97777283840853523005112247","False","False","44.99","44.99000","","","","","970400-K","","","1.0000","1.0000","","1.0000","1.0000","","","","","","False","False","10-10-2023","680CART","","","True"
"970400-C","970400-C","PRINTER SUPPLIES(9704)","Stockable","False","","","","HP INK CARTRIDGE 952XL CYAN","0.01000","-99.97142040583023721063160903","False","False","34.99","34.99000","","","","","970400-C","","","1.0000","1.0000","","1.0000","1.0000","","","","","","False","False","10-10-2023","681CART","","","True"
"970400-Y","970400-Y","PRINTER SUPPLIES(9704)","Stockable","False","","","","HP INK CARTRIDGE 952XL YELLOW","0.01000","-99.97142040583023721063160903","False","False","34.99","34.99000","","","","","970400-Y","","","1.0000","1.0000","","1.0000","1.0000","","","","","","False","False","10-10-2023","683CART","","","True"
"10420","10420","CLEC(13)","Stockable","False","","","","MOTOROLA CANOPY PMP320","0.01000","-99.99728251048203644316492960","False","False","367.99","367.98670","","","","","10420","","","1.0000","1.0000","","1.0000","1.0000","","","","","SUBSCRIBER MODULE 3.6-3.8 GHZ (INCLUDES POWER SUPPLY & MOUNTING BRACKET) _LAST TRANSACTION JE49287 (2013)_","False","False","","","1","","True"
"2637","2637","COE(14)","Stockable","False","","","","NETWORK INTERFACE UNIT, 3125-52 DS1","0.01000","-99.99545241222246071793677762","False","False","219.90","219.89680","","","","","2637","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N A90-3125-52, WESTELL","False","False","","","1","","True"
"5200DP","5200DP","DROP-REEL(15)","Stockable","False","","","","PLOWDUCT 1"" GRAY 2006925010 1800FT TONE","0.01000","-96.56121045392022008253094911","False","False","0.29","0.29080","","","","","5200DP","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N 2006925010, DURA-LINE, SMOOTH/SMOOTH, HDP100RSDR013SW GRYGRYNEMPTDSS RS 66M01800, 1800FT REELS","False","False","","","5","","True"
"5951DP","5951DP","DROP-REEL(15)","Stockable","False","","","","FTTP TONE 2 DROP FIBER 900um W7002K101 | ","0.01000","-93.56830460509390275276562902","False","False","0.16","0.15548","","HILL COUNTRY TELEPHONE","","0.18000","5951DP","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N W7002K101, SUPERIOR ESSEX, 2 FIBER, 900 MICRON, TONEABLE, 2000FT","False","False","","","5000","","True"
"5955DP","5955DP","DROP(15)","Stockable","False","","","","PEDESTAL FIBER PLASTIC BDO 4","0.01000","-99.99453103636860814875581077","False","False","182.85","182.85000","","","","","5955DP","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N , EMERSON, PROFORM PEDESTAL FOR FTTP VAULT","False","False","","","1","","True"
"6021DP","6021DP","DROP(15)","Stockable","False","","","","CS FIBER OPTIC DROP 200FT TONEABLE HCA-H01B-0200FL || cs drop 200ft ","0.01000","-99.98767409113678406190958897","False","False","81.13","81.12992","","POWER & TELEPHONE","","81.22000","6021DP","","","1.0000","1.0000","","1.0000","1.0000","","","","","REALFLEX FIBER OPTIC DROP CABLE HCA-H01B-0200FL","False","False","","","1","","True"
"6051DP","6051DP","DROP(15)","Stockable","False","","","","CS FIBER OPTIC DROP 500FT TONEABLE HCA-H01B-0500FL || cs drop 500 ft ","0.01000","-99.99276358636659671466821043","False","False","138.19","138.19000","","WALKER & ASSOCIATE, INC.","","0.00000","6051DP","","","1.0000","1.0000","","1.0000","1.0000","0.0000","0.0000","0.0000","0.0000","C/A HARDND DROP PGTL TNBL HCA-H01B-0500FL","False","False","","","1","","True"
"6081DP","6081DP","DROP(15)","Stockable","False","","","","CS FIBER OPTIC DROP 800FT TONEABLE HCA-H01B-0800FL","0.01000","-99.99446894211438183458995281","False","False","180.80","180.79724","","POWER & TELEPHONE","","180.88000","6081DP","","","1.0000","1.0000","","1.0000","1.0000","0.0000","0.0000","0.0000","0.0000","FIBER DROPS C/A HARDND DROP PGTL TNBL HCA-H01B-0800FL","False","False","9-19-2023","","1","","True"
"6121DP","6121DP","DROP(15)","Stockable","False","","","","CS FIBER OPTIC DROP 1200FT TONEABLE HCA-H01B-1200FL","0.01000","-99.99593168154179505601667685","False","False","245.80","245.80180","","POWER & TELEPHONE","","248.83000","6121DP","","","1.0000","1.0000","","1.0000","1.0000","","","","","FIBER DROPS C/A  HARDND PGTL TNBL HCA-H01B-1200FL","False","False","9-19-2023","","1","","True"
"6130DP","6130DP","DROP-REEL(15)","Stockable","False","","","","16/13 MICRO DUCT EMPTY SILICORE LUBE (ORNG) 10009181 | microduct","0.01000","-96.29629629629629629629629630","False","False","0.27","0.27000","","GRAYBAR ELECTRIC COMPANY","","0.00000","6130DP","","","1.0000","1.0000","","1.0000","1.0000","","","","","10009181 DURALINE, STRAIGHT RIB, ORANGE EMPTY","False","False","9/28/2022","","2","","True"
"6131DP","6131DP","DROP-REEL(15)","Stockable","False","","","","16/12 MICRO DUCT EMPTY SILICORE LUBE (ORNG) | microduct","0.01000","-96.37681159420289855072463768","False","False","0.28","0.27600","","GEORGIA UNDERGROUND","","0.00000","6131DP","","","1.0000","1.0000","","1.0000","1.0000","","","","","10009181 DURALINE, STRAIGHT RIB, ORANGE EMPTY","False","False","","","2","","True"
"6142DP","6142DP","DROP-REEL(15)","Stockable","False","","","","2FBR 6MM 8.5 MM OD MICRO DUCT | microduct","0.01000","-97.77282850779510022271714922","False","False","0.45","0.44900","","","","","6142DP","","","1.0000","1.0000","","1.0000","1.0000","0.0000","0.0000","0.0000","0.0000","MICRODUCT 8.5MM OD 6MM 2FBR YEL 2,500FT REEL, DURALINE P/N","False","False","9/28/2022","","2","","True"
"6150DP","6150DP","DROP(15)","Stockable","False","","","","CS FIBER OPTIC DROP 1500FT","0.01000","-99.99755201958384332925336597","False","False","408.50","408.50000","","POWER & TELEPHONE","","0.00000","6150DP","","","1.0000","1.0000","","1.0000","1.0000","0.0000","0.0000","0.0000","0.0000","COMMSCOPE REALFLEX FIBER OPTIC DROP CABLEFHD-H01C-1500FL","False","False","","","1","","True"
"1879DPC","1879DPC","DROP(15)","Stockable","False","","","","DROP WIRE AERIAL SEA 2X22 12-004-08 750FT | pair","0.01000","-99.99173779051994084258012278","False","False","121.03","121.03300","","ADAMS CABLE EQUIPMENT","","","1879DPC"," ","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N 12-004-08, SUPERIOR ESSEX2PAIR 22GAUGE, 750FT. POP BOX P/N 2090012, GENERAL CABLE2PAIR 22GAUGE, 750ft. COILS 750FT/BOX DISPENSED/BOX","False","False","","","1","","True"
"1880DPC","1880DPC","DROP(15)","Stockable","False","","","","TELEPHONE DROP WIRE 6 PAIR 400FT HAND COIL 2090014","0.01000","-99.99428491254058783675081276","False","False","174.98","174.97545","","GRAYBAR ELECTRIC COMPANY","","0.00000","1880DPC","","","1.0000","1.0000","","1.0000","1.0000","","","","","P/N 2090051, GENERAL CABLE, ASW NON-METALLIC SUPPORT, 6 T PR 22 AWG GSDW E28473, 400FT HAND COILS SEA6-22","False","False","","","1","","True"
"1881DPC","1881DPC","DROP-REEL(15)","Stockable","False","","","","TELEPHONE DROP WIRE 6x22 1000FT 2090051","0.01000","-98.41355458958657232604626075","False","False","0.63","0.63034","","GENUINE CABLE GROUP, LLC","","0.00000","1881DPC","","","1.0000","1.0000","","1.0000","1.0000","0.0000","0.0000","0.0000","0.0000","P/N 2090051, GENERAL CABLEP/N 12-009-08, SUPERIOR ESSEX6T PR22 AWG GSDW E28473, 1000FT REELS","False","False","","","1000","","True"
"3270DPC","3270DPC","DROP(15)","Stockable","False","","","","3M SLIC 7.6"" X 33"" AERIAL CLOSURE | slick","0.01000","-99.99037455494348419935066748","False","False","103.89","103.89130","","","","","3270DPC","","","1.0000","1.0000","","1.0000","1.0000","0.0000","0.0000","0.0000","0.0000","P/N SLIC76X33, 3M, KIT 2TC, 80-6104-1255-5
MAX SPLICE OPENING 21""
MAX BUNDLE DIAMETER 7.6""
PAIR COUNT AWG 2400 PAIR 26 AWG","False","False","","3270AC","1","","True"
